,Title,GRRating,GRRatingCount
0,Hababam Sinifi,4.28,713
1,The Godfather,4.34,231552
2,The Godfather: Part II,4.5,4
3,Fight Club,4.19,330028
4,The Lord of the Rings: The Return of the King,4.16,82
5,Morometii,3.8,5390
6,The Lord of the Rings: The Fellowship of the Ring,4.55,75
7,Forrest Gump,4.03,40612
8,"Selvi boylum, al yazmalim",4.23,274
9,Goodfellas,4.36,409
10,One Flew Over the Cuckoo's Nest,4.17,447177
11,The Lord of the Rings: The Two Towers,4.52,4107
12,Harakiri,4.23,22
13,The Silence of the Lambs,4.1,320471
14,It's a Wonderful Life,3.47,66
15,La Celestina,3.38,6479
16,The Prestige,3.87,11411
17,Apocalypse Now,3.72,428
18,The Green Mile,4.4,160899
19,Psycho,3.8,147498
20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.46,13
21,Grave of the Fireflies,4.67,18
22,Paths of Glory,3.84,10012
23,Woman in the Dunes,3.91,10769
24,Le trou,4.14,7
25,Guide,4.19,895768
26,Brown of Harvard,3.94,141401
27,Cel mai iubit dintre pamînteni,4.28,400
28,Forest of the Hanged,3.93,4254
29,The Golden Calf,4.47,3877
30,Devil's Bride,4.1,12432
31,When Knighthood Was in Flower,3.42,88
32,Janice Meredith,3.72,29
33,Anugraham,3.46,23229
34,Hotaru no hikari,3.8,59
35,The Shining,4.13,681574
36,Requiem for a Dream,4.08,33057
37,A Clockwork Orange,3.96,391228
38,3 Idiots,4.5,142
39,Once Upon a Time in America,3.77,39
40,To Kill a Mockingbird,4.24,2678288
41,Double Indemnity,4.12,12084
42,Vertigo,4.04,2169
43,Das Boot,4.28,2352
44,Bicycle Thieves,2.97,32
45,Sunrise,4.35,6257
46,High and Low,4.08,1466
47,The Little Fox,3.95,3503
48,Twelve Chairs,4.42,12300
49,Le dernier jour d'un condamné,3.83,84
50,Clouds at Sunset,3.33,3
51,Beverly of Graustark,3.86,57
52,Amalia,3.44,123
53,The Revenant,4.01,43215
54,Room,3.97,405424
55,Scarface,3.88,208
56,2001: A Space Odyssey,4.08,146862
57,Full Metal Jacket,3.93,119
58,L.A. Confidential,4.2,19934
59,Raging Bull,4.11,4370
60,Metropolis,3.48,877
61,Yojimbo,4.13,2492
62,The Treasure of the Sierra Madre,4.1,1231
63,Rocco and His Brothers,3.57,7
64,The Heiress,3.39,23059
65,Akahige,3.67,3
66,Pather Panchali,4.52,2065
67,I Remember Mama,3.88,167
68,Viridiana,4.29,21
69,To Live,3.59,28615
70,The Wind,4.26,775265
71,Make Way for Tomorrow,3.0,2
72,Late Autumn,4.25,4
73,Sahib Bibi Aur Ghulam,4.0,1
74,Noz,3.38,162
75,The Ascent,4.18,4064
76,Charulata,0.0,0
77,Die Hard,3.5,350
78,Blade Runner,3.9,300
79,Gone with the Wind,4.26,775265
80,Trainspotting,4.05,95581
81,How to Train Your Dragon,3.84,20967
82,The Secret in Their Eyes,3.84,1450
83,Casino,3.72,36982
84,Howl's Moving Castle,4.3,118371
85,Cool Hand Luke,4.09,598
86,The Bridge on the River Kwai,4.03,4970
87,The Maltese Falcon,3.93,57554
88,Rebecca,4.19,273584
89,Stalker,4.05,5148
90,Paper Moon,4.1,1159
91,The Best Years of Our Lives,4.5,8
92,The Thin Man,3.98,18631
93,The Wages of Fear,0.0,0
94,Sanjuro,3.4,5
95,The Army of Shadows,3.65,440
96,Sweet Smell of Success,4.52,25
97,Kind Hearts and Coronets,4.12,17
98,Rififi,3.89,18
