,Title,IMDBRating,IMDBRatingCount
0,Hababam Sinifi,9.4,23692
1,The Godfather,9.2,1091878
2,National Theatre Live: Frankenstein,9.1,1080
3,The Godfather: Part II,9.0,742243
4,Hababam Sinifi Sinifta Kaldi,9.0,14722
5,Süt Kardesler,9.0,13056
6,Fight Club,8.9,1263898
7,The Lord of the Rings: The Return of the King,8.9,1146445
8,The Phantom of the Opera at the Royal Albert Hall,8.9,4094
9,Morometii,8.9,2491
10,Hababam sinifi uyaniyor,8.9,11818
11,Aguner Poroshmoni,8.9,991
12,The Lord of the Rings: The Fellowship of the Ring,8.8,1170825
13,Forrest Gump,8.8,1165587
14,The Human Condition III: A Soldier's Prayer,8.8,2692
15,Az ötödik pecsét,8.8,1548
16,"Selvi boylum, al yazmalim",8.8,10336
17,Goodfellas,8.7,686926
18,One Flew Over the Cuckoo's Nest,8.7,643450
19,The Lord of the Rings: The Two Towers,8.7,1035419
20,Harakiri,8.7,17645
21,Lajanje na zvezde,8.7,3769
22,Maa Bhoomi,8.7,38
23,The Silence of the Lambs,8.6,828658
24,It's a Wonderful Life,8.6,260932
25,Satantango,8.6,5882
26,Vreme na nasilie,8.6,1644
27,Aha Naa Pellanta,8.6,582
28,Gospodin za edin den,8.6,668
29,La Celestina,8.6,38
30,Golapi Ekhon Traine,8.6,36
31,Basain,8.6,19
32,The Prestige,8.5,789034
33,Apocalypse Now,8.5,428040
34,The Green Mile,8.5,728682
35,Psycho,8.5,397149
36,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.5,325369
37,Grave of the Fireflies,8.5,126951
38,Paths of Glory,8.5,113456
39,Woman in the Dunes,8.5,10538
40,The Human Condition I: No Greater Love,8.5,3479
41,Le trou,8.5,8764
42,Guide,8.5,3675
43,The Human Condition II: Road to Eternity,8.5,2715
44,Brown of Harvard,8.5,1231
45,Cel mai iubit dintre pamînteni,8.5,1184
46,Forest of the Hanged,8.5,769
47,Zübük,8.5,4590
48,The Golden Calf,8.5,1377
49,Devil's Bride,8.5,469
50,Da obichash na inat,8.5,382
51,When Knighthood Was in Flower,8.5,693
52,Janice Meredith,8.5,543
53,Anugraham,8.5,6
54,Ein Mädchen geht an Land,8.5,6
55,Alaverdoba,8.5,28
56,The Great Department Store Robbery,8.5,6
57,Hotaru no hikari,8.5,6
58,Nyulak a ruhatárban,8.5,6
59,The Shining,8.4,571192
60,Requiem for a Dream,8.4,542430
61,A Clockwork Orange,8.4,524571
62,3 Idiots,8.4,187547
63,Once Upon a Time in America,8.4,208060
64,To Kill a Mockingbird,8.4,201531
65,Double Indemnity,8.4,92109
66,Vertigo,8.4,233233
67,Das Boot,8.4,159690
68,Bicycle Thieves,8.4,88147
69,Sunrise,8.4,26498
70,High and Low,8.4,17235
71,"Out 1, noli me tangere",8.4,525
72,Samurai Rebellion,8.4,7065
73,Pelísky,8.4,2942
74,The Little Fox,8.4,3932
75,Twelve Chairs,8.4,3438
76,Namukku Parkkan Munthiri Thoppukal,8.4,638
77,Girl from La Mancha,8.4,48
78,Le dernier jour d'un condamné,8.4,8
79,Clouds at Sunset,8.4,7
80,Beverly of Graustark,8.4,322
81,Hajnali háztetök,8.4,42
82,Amalia,8.4,5
83,Afternoon When Flowers Fell,8.4,5
84,The Revenant,8.3,125298
85,Room,8.3,22350
86,Scarface,8.3,506822
87,2001: A Space Odyssey,8.3,400741
88,Full Metal Jacket,8.3,454696
89,L.A. Confidential,8.3,395268
90,Raging Bull,8.3,223055
91,Metropolis,8.3,105377
92,Yojimbo,8.3,69721
93,The Treasure of the Sierra Madre,8.3,74946
94,Rocco and His Brothers,8.3,10737
95,Nights of Cabiria,8.3,24382
96,The Heiress,8.3,9150
97,Akahige,8.3,10837
98,Pather Panchali,8.3,12749
99,I Remember Mama,8.3,3773
100,Viridiana,8.3,15379
101,To Live,8.3,11256
102,The Wind,8.3,4513
103,Make Way for Tomorrow,8.3,4652
104,Late Autumn,8.3,2521
105,Sahib Bibi Aur Ghulam,8.3,1030
106,Noz,8.3,1729
107,The Ascent,8.3,3503
108,Charulata,8.3,2912
109,Srabon Megher Din,8.3,700
110,Isten hozta örnagy úr,8.3,898
111,Voyna i mir IV: Pierre Bezukhov,8.3,458
112,Voyna i mir III: 1812 god,8.3,552
113,Salt Without Soup,8.3,18
114,Szentjános fejevétele,8.3,10
115,Die Hard,8.2,562100
116,Blade Runner,8.2,438584
117,Gone with the Wind,8.2,203945
118,Trainspotting,8.2,444737
119,How to Train Your Dragon,8.2,451634
120,The Secret in Their Eyes,8.2,120539
121,Casino,8.2,314375
122,Howl's Moving Castle,8.2,198312
123,Cool Hand Luke,8.2,114126
124,The Bridge on the River Kwai,8.2,140712
125,The Maltese Falcon,8.2,107110
126,Rebecca,8.2,82771
127,Stalker,8.2,63746
128,Paper Moon,8.2,22274
129,The Best Years of Our Lives,8.2,38148
130,The Thin Man,8.2,20066
131,The Wages of Fear,8.2,33259
132,Sanjuro,8.2,19239
133,The Army of Shadows,8.2,14213
134,Sweet Smell of Success,8.2,19061
135,Kind Hearts and Coronets,8.2,24578
136,Werckmeister harmóniák,8.2,8267
137,Rififi,8.2,17837
138,A Tree Grows in Brooklyn,8.2,5277
139,My Sassy Girl,8.2,35682
140,Z,8.2,17004
141,Ugetsu,8.2,13558
142,Raise the Red Lantern,8.2,20028
143,Los santos inocentes,8.2,2203
144,The Oak,8.2,1834
145,Aranyer Din Ratri,8.2,1499
146,Guizi lai le,8.2,4743
147,Saikaku ichidai onna,8.2,3901
148,Marketa Lazarová,8.2,2489
149,Jana Aranya,8.2,748
150,Reconstruction,8.2,921
151,Al-ard,8.2,560
