title,id,episodes,score,rank,popularity,members,favorites,start_date,end_date,status,type,synopsis
Cowboy Bebop,1,26,8.83,20,27,266713,17715,1998-04-03,1999-04-24,Finished Airing,TV,"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys"". The ragtag team aboard the spaceship Bebop are two such individuals. Mellow and carefree Spike Spiegel is balanced by his boisterous, pragmatic partner Jet Black as the pair makes a living chasing bounties and collecting rewards. Thrown off course by the addition of new members that they meet in their travels—Ein, a genetically engineered, highly intelligent Welsh Corgi; femme fatale Faye Valentine, an enigmatic trickster with memory loss; and the strange computer whiz kid Edward Wong—the crew embarks on thrilling adventures that unravel each member's dark and mysterious past little by little. Well-balanced with high density action and light-hearted comedy, Cowboy Bebop is a space Western classic and an homage to the smooth and improvised music it is named after."
Cowboy Bebop: Tengoku no Tobira,5,1,8.41,145,257,91771,374,2001-09-01,2001-09-01,Finished Airing,Movie,"As the Cowboy Bebop crew travels the stars, they learn of the largest bounty yet, a huge 300 million Woolongs. Apparently, someone is wielding a hugely powerful chemical weapon, and of course the authorities are at a loss to stop it. The war to take down the most dangerous criminal yet forces the crew to face a true madman, with bare hope to succeed."
Trigun,6,26,8.32,191,72,175287,5575,1998-04-01,1998-09-30,Finished Airing,TV,"Vash the Stampede is a wanted man with a habit of turning entire frontier towns into rubble. The price on his head is a fortune, and his path of destruction reaches across the arid wastelands of a desert planet. Unfortunately, most encounters with the spiky-haired gunslinger don't end well for the bounty hunters who catch up with him; someone almost always gets hurt—and it's never Vash. Oddly enough, for such an infamous fugitive, there's no proof that he's ever taken a life. In fact, he's a pacifist with a doughnut obsession who's more doofus than desperado. There's a whole lot more to him than his reputation lets on—Vash the Stampede definitely ain't your typical outlaw."
Witch Hunter Robin,7,26,7.38,1790,591,50136,409,2002-07-02,2002-12-24,Finished Airing,TV,"Witches are individuals with special powers like ESP, telekinesis, mind control, etc. . Robin, a 15-year-old craft user, arrives from Italy to Japan to work for an organization named STN Japan Division as a replacement for one of STN-J's witch hunters who was recently killed. Unlike other divisions of STN, STN-J tries to capture the witches alive in order to learn why and how they became witches in the first place."
Beet the Vandel Buster,8,52,7.05,2889,2337,7620,13,2004-09-30,2005-09-29,Finished Airing,TV,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century."
Eyeshield 21,15,145,8.1,386,567,51826,1093,2005-04-06,2008-03-19,Finished Airing,TV,"Welcome To the Gridiron of the Damned! Huge hulking bodies throw themselves at each other, while a tiny lithe body runs between them for the goal! No, it's not a game of football, it's Sena Kobayakawa trying to evade the monstrous Ha-Ha brothers down the halls of Deimon High School! But wait! Sena's incredible skills at not getting caught have been spotted by the devilish captain of the school's embryonic American style football team, and when Sena asks to be the teams manager, he gets thrust onto the field as a running back instead! But there are two BIG catches: first, to keep the identity of their new ""star"" player an absolute secret, Yoichi makes Sena wear an opaque visor on his helmet and gives him the alias of ""Eyeshield 21."" And the second catch? Well, in order to hit his fastest ""speed of light"" running mode, Sena usually has to be absolutely terrified. Not that THAT will be a problem with the monstrous players that he'll soon find himself running from! The insanity hits the streets when the feet meet the cleats in EYESHIELD 21!"
Hachimitsu to Clover,16,24,8.21,254,275,86801,2668,2005-04-15,2005-09-27,Finished Airing,TV,"Takemoto Yuuta, Mayama Takumi, and Morita Shinobu are college students who share the small apartment. Even though they live in poverty, the three of them are able to obtain pleasure through small things in life. The story follows these characters' life stories as poor college students, as well as their love lives when a short but talented 18 year old girl called Hanamoto Hagumi appears."
Hungry Heart: Wild Striker,17,52,7.77,773,2108,9485,140,2002-09-11,2003-09-10,Finished Airing,TV,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becomming professional soccer players themselves."
Initial D Fourth Stage,18,24,8.25,245,1154,25257,290,2004-04-17,2006-02-18,Finished Airing,TV,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf and Todo-juku."
Monster,19,74,8.74,35,152,124401,6298,2004-04-07,2005-09-28,Finished Airing,TV,"Dr. Kenzou Tenma is a renowned brain surgeon of Japanese descent working in Europe. Highly lauded by his peers as one of the great young minds that will revolutionize the field, he is blessed with a beautiful fiancée and is on the cusp of a big promotion in the hospital he works at. But all of that is about to change with a grave dilemma that Kenzou faces one night—whether to save the life of a small boy or that of the town's mayor. Despite being pressured by his superiors to perform surgery on the mayor, his morals force him to perform the surgery on the other critical patient, saving his life and forfeiting the mayor's. A doctor is taught to believe that all life is equal; however, when a series of murders occur in the surgeon's vicinity, all of the evidence pointing to the boy he saved, Kenzou's beliefs are shaken. Along his journey to unravel the true identity of his little patient, Kenzou discovers that the fate of the world may be intertwined with the mysterious child."
