,Title,GRRating,GRRatingCount
0,The Wolf of Wall Street,3.64,18175
1,Into the Wild,3.92,539534
2,Gone Girl,3.99,1240870
3,Going Clear: Scientology and the Prison of Belief,3.99,24468
4,The Pact,3.99,211335
5,The Diving Bell and the Butterfly,4.0,38293
6,Captain Phillips,3.81,2468
7,Ernest & Celestine,4.19,177
8,Toki o kakeru shôjo,0.0,0
9,The Social Network,3.71,2076
10,The Little Prince,4.25,612407
11,Control,3.87,3577
12,The Theory of Everything,3.7,499
13,Zodiac,3.7,2842
14,The Blind Side,4.15,51709
15,The Last King of Scotland,3.75,2303
16,The Secret World of Arrietty,4.44,96
17,The Rape of Europa,3.9,4689
18,Lone Survivor,4.0,88
19,Hugo,4.23,118432
20,Moneyball,4.22,60618
21,Munich,4.36,4940
22,Philomena,3.68,38
23,The Shock Doctrine,4.22,22133
24,Freedom Writers,4.07,10197
25,The End of America,3.99,1740
26,Lincoln,4.16,22237
27,Invictus,4.62,338
28,Capote,4.03,358013
29,The Baader Meinhof Complex,4.02,763
30,Zift,0.0,0
31,Testament of Youth,4.17,3602
32,Rise of the Guardians,4.32,106
33,Pitch Perfect,3.37,943
34,Wild,3.92,539533
35,Paddington,4.2,55692
36,Defiance,3.71,21301
37,Nowhere Boy,3.5,18
38,Meu Nome Não É Johnny,3.6,57
39,Black Mass,3.79,3587
40,Beg,3.94,11925
41,The Body,3.95,80604
42,The Underground Man,3.79,853
43,Braslet-2,4.41,3683975
44,Captain Phillips,3.81,2468
45,Glory,3.98,19391
46,Ed Wood,4.22,1856825
47,Kiki's Delivery Service,3.87,430
48,The Right Stuff,4.22,29043
49,Cabaret,3.94,177
50,The Big Country,4.03,3363
51,Ernest & Celestine,4.19,177
52,A Night to Remember,3.98,11211
53,The Train,3.84,478821
54,Toki o kakeru shôjo,0.0,0
55,Seven Days in May,4.13,1162
56,The Plague Dogs,3.82,4784
57,America America,4.1,388455
58,The Confession,3.59,496352
59,The Mortal Storm,4.17,35
60,The Endurance,4.33,42346
61,Amintiri din copilarie,3.83,3194
62,Gerónima,3.0,2
63,The Social Network,3.71,2076
64,The Little Prince,4.25,612408
65,Deliverance,3.85,22701
66,Donnie Brasco,4.0,4163
67,October Sky,3.67,422
68,Serpico,3.98,2204
69,The Motorcycle Diaries,3.79,18298
70,The Dirty Dozen,3.91,492
71,The Longest Day,4.3,12866
72,Control,3.87,3577
73,The Day of the Jackal,4.23,76575
74,Missing,3.95,40652
75,Kes,4.29,1714888
76,My Darling Clementine,3.0,2
77,Birdman of Alcatraz,3.77,126
78,When the Wind Blows,3.92,38539
79,The Three Veterans,4.36,950
80,Boris Godunov,3.86,920
81,Queridas amigas,3.12,8
82,The Theory of Everything,3.7,499
83,Black Hawk Down,4.26,37513
84,Zodiac,3.7,2842
85,The Blind Side,4.15,51709
86,The Last King of Scotland,3.75,2303
87,Lolita,3.87,448324
88,Midnight Express,3.97,1875
89,The Secret World of Arrietty,4.44,96
90,Mysterious Skin,4.08,6431
91,Gettysburg,4.31,2671
92,Prince of the City,3.5,42
93,Europa Europa,4.13,404
94,Isadora,3.61,33
95,Le Silence de la Mer,3.88,1507
96,Caliber 9,4.62,8
97,The Rape of Europa,3.9,4689
98,Bandini,4.11,6523
99,The Celluloid Closet,4.14,1658
100,The Sorcerer's Apprentice,4.22,607
101,Rikki-Tikki-Tavi,3.93,15598
102,Cerní baroni,3.95,122
103,Suvi,4.13,683065
104,Are We Alone in the Universe?,0.0,0
105,Lone Survivor,4.0,88
106,Hugo,4.23,118432
107,Blow,3.92,38539
108,Moneyball,4.22,60618
109,Apollo 13,4.26,3964
110,High Fidelity,3.95,136813
111,Munich,4.36,4940
112,Field of Dreams,3.94,308633
113,The Hours,3.89,92196
114,Philomena,3.68,38
115,The Hurricane,4.12,9354
116,Christiane F.,3.53,714
117,Dead Man Walking,4.06,5039
118,The Nun's Story,4.16,677
119,Never Cry Wolf,4.18,15194
120,Carandiru,4.05,911
121,The Bishop's Wife,3.1,2128
122,King of the Hill,4.14,153
123,The Mark of Zorro,3.92,3104
124,The Wild Child,4.13,2469
125,Bandit Queen,3.16,114
126,The Counterfeit Traitor,4.07,14
127,The Lusty Men,0.0,0
128,Hold Back the Dawn,4.0,10
129,The Shock Doctrine,4.22,22133
130,Cavalleria rusticana,2.96,25
131,Cave in the Snow,4.19,940
132,Dark River,3.86,13186
133,Sleepers,4.15,9302
134,Freedom Writers,4.07,10197
135,Marathon Man,4.1,14049
136,Pumping Iron,3.26,72
137,The King and I,4.13,683065
138,Quiz Show,3.45,22
139,Searching for Bobby Fischer,3.75,4
140,Reds,4.15,401168
141,Rabbit-Proof Fence,3.61,64
142,Cry Freedom,3.86,361
143,The Secret of Roan Inish,4.25,165
144,The Man Who Never Was,3.85,533
145,To Hell and Back,4.15,3738
146,The Hiding Place,4.41,145078
147,Friendly Persuasion,3.91,573
148,Thirty Seconds Over Tokyo,4.06,910
149,84 Charing Cross Road,4.18,23933
150,Hong gao liang,3.72,2860
151,Entre Nous,4.24,94
152,Nine Lives,3.99,3891
153,The Battle of Russia,4.06,463
154,La ciudad y los perros,4.08,9378
155,Wir können auch anders...,2.0,1
156,The End of America,3.99,1740
