,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount
0,The Wolf of Wall Street,100000000.0,116866727.0,R,180.0,8.2,705753.0,,
1,Into the Wild,15000000.0,18352454.0,R,148.0,8.2,401238.0,,
2,Gone Girl,61000000.0,167735396.0,R,149.0,8.1,517073.0,,
3,Going Clear: Scientology and the Prison of Belief,,,NOT RATED,119.0,8.1,19936.0,,
4,Suzumiya Haruhi no shôshitsu,,,NOT RATED,163.0,8.1,3261.0,,
5,The Pact,,,,84.0,8.1,31.0,,
6,The Diving Bell and the Butterfly,,,PG-13,112.0,8.0,87706.0,,
7,Captain Phillips,55000000.0,107100855.0,PG-13,134.0,7.9,308193.0,,
8,Ernest & Celestine,,,PG,80.0,7.9,10883.0,,
9,Toki o kakeru shôjo,,,NOT RATED,98.0,7.9,33030.0,,
10,The Social Network,40000000.0,96917897.0,PG-13,120.0,7.8,453906.0,,
11,The Little Prince,,,PG,108.0,7.8,16367.0,,
12,Control,,,R,122.0,7.8,49809.0,,
13,The Theory of Everything,15000000.0,35887263.0,PG-13,123.0,7.7,234260.0,,
14,Zodiac,65000000.0,,R,157.0,7.7,282210.0,,
15,The Blind Side,29000000.0,255950375.0,PG-13,129.0,7.7,210698.0,,
16,The Last King of Scotland,6000000.0,17605861.0,R,123.0,7.7,140065.0,,
17,The Secret World of Arrietty,,,G,94.0,7.7,49602.0,,
18,The Rape of Europa,,,UNRATED,117.0,7.7,1172.0,,
19,Lone Survivor,40000000.0,125069696.0,R,121.0,7.6,190588.0,,
20,Hugo,170000000.0,73820094.0,PG,126.0,7.6,235659.0,,
21,Moneyball,50000000.0,75605492.0,PG-13,133.0,7.6,273355.0,,
22,Munich,70000000.0,47379090.0,R,164.0,7.6,171690.0,,
23,Philomena,12000000.0,37707719.0,PG-13,98.0,7.6,71677.0,,
24,The Shock Doctrine,,,,79.0,7.6,1918.0,,
25,Freedom Writers,21000000.0,36581633.0,PG-13,123.0,7.5,50023.0,,
26,Mesrine Part 2: Public Enemy #1,,,R,133.0,7.5,22675.0,,
27,The End of America,,,,,7.5,741.0,,
28,Les nouveaux chiens de garde,,,,104.0,7.5,247.0,,
29,Lincoln,65000000.0,182204440.0,PG-13,150.0,7.4,189534.0,,
30,Invictus,60000000.0,37479778.0,PG-13,134.0,7.4,119068.0,,
31,Capote,7000000.0,28747570.0,R,114.0,7.4,96173.0,,
32,The Baader Meinhof Complex,,,R,150.0,7.4,28482.0,,
33,Project Nim,,,PG-13,93.0,7.4,7113.0,,
34,Zift,,,,92.0,7.4,3901.0,,
35,Testament of Youth,,,PG-13,129.0,7.3,10090.0,,
36,Rise of the Guardians,145000000.0,103400692.0,PG,97.0,7.3,117378.0,,
37,"The Prize Winner of Defiance, Ohio",,,PG-13,99.0,7.3,5373.0,,
38,Violeta se fue a los cielos,,,NOT RATED,110.0,7.3,1482.0,,
39,Pitch Perfect,17000000.0,64998368.0,PG-13,112.0,7.2,201595.0,,
40,Wild,15000000.0,37877959.0,R,115.0,7.2,76575.0,,
41,Paddington,55000000.0,76137505.0,PG,95.0,7.2,44818.0,,
42,Defiance,32000000.0,28622873.0,R,137.0,7.2,112505.0,,
43,Nowhere Boy,,,R,98.0,7.2,28178.0,,
44,La tête en friche,,,,82.0,7.2,5075.0,,
45,Rang Rasiya,,,NOT RATED,132.0,7.2,1227.0,,
46,Meu Nome Não É Johnny,,,,124.0,7.2,4331.0,,
47,Die drei Räuber,,,,75.0,7.2,414.0,,
48,Playing the Moldovans at Tennis,,,,100.0,7.2,265.0,,
49,Black Mass,65000000.0,62563543.0,R,123.0,7.1,68356.0,,
50,Beg,,,,196.0,8.0,626.0,,
51,The Body,,,X,112.0,8.0,66.0,,
52,The Underground Man,,,,110.0,8.0,7.0,,
53,Braslet-2,,,,74.0,,,,
54,Captain Phillips,55000000.0,107100855.0,PG-13,134.0,7.9,308193.0,,
55,Glory,18000000.0,26830000.0,R,122.0,7.9,99270.0,,
56,Ed Wood,18000000.0,5887457.0,R,127.0,7.9,138957.0,,
57,Kiki's Delivery Service,,,G,103.0,7.9,70958.0,,
58,The Right Stuff,27000000.0,21500000.0,PG,193.0,7.9,43575.0,,
59,Cabaret,6000000.0,42765000.0,PG,124.0,7.9,35078.0,,
60,The Big Country,,,UNRATED,165.0,7.9,11030.0,,
61,Ernest & Celestine,,,PG,80.0,7.9,10883.0,,
62,A Night to Remember,,,NOT RATED,123.0,7.9,10300.0,,
63,The Train,,,UNRATED,133.0,7.9,9714.0,,
64,Toki o kakeru shôjo,,,NOT RATED,98.0,7.9,33030.0,,
65,Seven Days in May,,,APPROVED,118.0,7.9,9002.0,,
66,The Plague Dogs,,,PG-13,103.0,7.9,4245.0,,
67,America America,,,,174.0,7.9,3334.0,,
68,The Confession,,,GP,139.0,7.9,1953.0,,
69,The Mortal Storm,,,PASSED,100.0,7.9,3149.0,,
70,The Endurance,,,G,97.0,7.9,1538.0,,
71,Amintiri din copilarie,,,,72.0,7.9,327.0,,
72,Gerónima,,,,96.0,7.9,22.0,,
73,Solomennye kolokola,,,,144.0,7.9,9.0,,
74,Kolybelnaya dlya brata,,,,70.0,7.9,17.0,,
75,The Social Network,40000000.0,96917897.0,PG-13,120.0,7.8,453906.0,,
76,The Little Prince,,,PG,108.0,7.8,16367.0,,
77,Deliverance,2000000.0,,R,110.0,7.8,75462.0,,
78,Donnie Brasco,35000000.0,41954997.0,R,127.0,7.8,217401.0,,
79,October Sky,25000000.0,32481825.0,PG,108.0,7.8,61736.0,,
80,Serpico,,,R,130.0,7.8,74969.0,,
81,The Motorcycle Diaries,,,R,126.0,7.8,80746.0,,
82,The Dirty Dozen,,,NOT RATED,150.0,7.8,50876.0,,
83,The Longest Day,,,G,178.0,7.8,41819.0,,
84,Control,,,R,122.0,7.8,49809.0,,
85,The Day of the Jackal,,,PG,143.0,7.8,28324.0,,
86,Missing,,,R,122.0,7.8,13138.0,,
87,Kes,,,PG-13,110.0,7.8,12149.0,,
88,My Darling Clementine,,,APPROVED,97.0,7.8,15884.0,,
89,Birdman of Alcatraz,,,,147.0,7.8,11785.0,,
90,When the Wind Blows,,,,80.0,7.8,6832.0,,
91,Standing in the Shadows of Motown,,,PG,108.0,7.8,2881.0,,
92,The Three Veterans,,,,96.0,7.8,702.0,,
93,Ne mozhet byt!,,,,100.0,7.8,881.0,,
94,"Pegiy pyos, Begushchiy kraem morya",,,,132.0,7.8,41.0,,
95,Boris Godunov,,,,110.0,7.8,47.0,,
96,Queridas amigas,,,,92.0,,,,
97,Günter Wallraff - Ganz unten,,,,100.0,7.8,36.0,,
98,Karanlik dünya,,,,60.0,7.8,32.0,,
99,The Theory of Everything,15000000.0,35887263.0,PG-13,123.0,7.7,234260.0,,
100,Black Hawk Down,92000000.0,976530.0,R,144.0,7.7,280733.0,,
101,Zodiac,65000000.0,,R,157.0,7.7,282210.0,,
