,Title,MCUserRating,MCUserRatingCount,MCCriticRating,MCCriticRatingCount
0,The Wolf of Wall Street,7.1,1572.0,75.0,47
1,Into the Wild,8.2,348.0,73.0,38
2,Gone Girl,8.1,1138.0,79.0,49
3,Going Clear: Scientology and the Prison of Belief,8.4,49.0,80.0,11
4,The Pact,6.7,23.0,54.0,10
5,The Diving Bell and the Butterfly,8.3,173.0,92.0,36
6,Captain Phillips,8.1,616.0,83.0,48
7,Ernest & Celestine,7.3,53.0,86.0,22
8,The Social Network,8.2,1554.0,95.0,42
9,Control,7.6,60.0,78.0,27
10,The Theory of Everything,7.8,399.0,72.0,47
11,Zodiac,8.4,520.0,78.0,40
12,The Blind Side,7.4,335.0,53.0,29
13,The Last King of Scotland,8.1,136.0,74.0,36
14,The Secret World of Arrietty,8.1,216.0,80.0,28
15,The Rape of Europa,7.6,8.0,77.0,18
16,Lone Survivor,7.5,339.0,60.0,44
17,Hugo,7.7,690.0,83.0,41
18,Moneyball,8.0,532.0,87.0,42
19,Munich,8.0,415.0,74.0,39
20,Philomena,7.9,184.0,76.0,41
21,Freedom Writers,7.9,70.0,64.0,29
22,Lincoln,7.5,659.0,86.0,44
23,Invictus,7.2,183.0,74.0,34
24,Capote,7.9,212.0,88.0,40
25,The Baader Meinhof Complex,8.0,22.0,76.0,22
26,Testament of Youth,8.0,26.0,76.0,34
27,Rise of the Guardians,7.3,231.0,57.0,34
28,Pitch Perfect,5.8,237.0,63.0,39
29,Wild,8.6,134.0,77.0,33
30,Paddington,8.2,170.0,77.0,38
31,Defiance,5.8,152.0,58.0,34
32,Nowhere Boy,7.1,55.0,67.0,32
33,Black Mass,7.4,263.0,68.0,43
34,Captain Phillips,8.1,616.0,83.0,48
35,Glory,7.0,161.0,64.0,35
36,Ed Wood,6.4,153.0,70.0,19
37,Cabaret,8.4,32.0,80.0,8
38,Ernest & Celestine,7.3,53.0,86.0,22
39,America America,6.5,43.0,75.0,42
40,The Endurance,8.2,5.0,85.0,23
41,The Social Network,8.2,1554.0,95.0,42
42,Donnie Brasco,3.5,208.0,76.0,21
43,October Sky,8.6,81.0,71.0,23
44,Serpico,8.9,91.0,87.0,7
45,The Motorcycle Diaries,7.8,89.0,75.0,37
46,Control,7.6,60.0,78.0,27
47,Missing,6.8,6.0,87.0,23
48,The Theory of Everything,7.8,399.0,72.0,47
49,Black Hawk Down,8.0,268.0,74.0,33
50,Zodiac,8.4,520.0,78.0,40
51,The Blind Side,7.4,335.0,53.0,29
52,The Last King of Scotland,8.1,136.0,74.0,36
53,Lolita,8.0,18.0,46.0,17
54,The Secret World of Arrietty,8.1,216.0,80.0,28
55,Mysterious Skin,8.2,98.0,73.0,32
56,Europa Europa,7.1,119.0,68.0,25
57,The Rape of Europa,7.6,8.0,77.0,18
58,The Sorcerer's Apprentice,6.2,172.0,46.0,34
59,Lone Survivor,7.5,339.0,60.0,44
60,Hugo,7.7,690.0,83.0,41
61,Blow,8.9,212.0,52.0,34
62,Moneyball,8.0,532.0,87.0,42
63,Apollo 13,8.1,123.0,77.0,22
64,High Fidelity,8.9,137.0,79.0,35
65,Munich,8.0,415.0,74.0,39
66,Field of Dreams,8.8,116.0,57.0,17
67,The Hours,7.2,78.0,48.0,36
68,Philomena,7.9,184.0,76.0,41
69,The Hurricane,7.7,42.0,74.0,30
70,Dead Man Walking,7.7,58.0,80.0,26
71,Carandiru,7.8,16.0,71.0,28
72,King of the Hill,,,86.0,12
73,Sleepers,9.0,97.0,49.0,18
74,Freedom Writers,7.9,70.0,64.0,29
75,Quiz Show,9.0,83.0,88.0,13
76,Rabbit-Proof Fence,7.8,40.0,80.0,31
77,Friendly Persuasion,,,65.0,5
78,Nine Lives,6.8,18.0,80.0,25
