,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount,APPROVED,G,GP,M,NC-17,NOT RATED,PASSED,PG,PG13,R,TV-14,UNRATED,X,GRRating,GRRatingCount
0,The Wolf of Wall Street,100000000.0,116866727.0,R,180.0,8.2,705753.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.64,18175
1,Into the Wild,15000000.0,18352454.0,R,148.0,8.2,401238.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.92,539534
2,Gone Girl,61000000.0,167735396.0,R,149.0,8.1,517073.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.99,1240870
3,Going Clear: Scientology and the Prison of Belief,,,NOT RATED,119.0,8.1,19936.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,24468
4,The Pact,,,,84.0,8.1,31.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,211335
5,The Diving Bell and the Butterfly,,,PG-13,112.0,8.0,87706.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,38293
6,Captain Phillips,55000000.0,107100855.0,PG-13,134.0,7.9,308193.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.81,2468
7,Captain Phillips,55000000.0,107100855.0,PG-13,134.0,7.9,308193.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.81,2468
8,Captain Phillips,55000000.0,107100855.0,PG-13,134.0,7.9,308193.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.81,2468
9,Captain Phillips,55000000.0,107100855.0,PG-13,134.0,7.9,308193.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.81,2468
10,Ernest & Celestine,,,PG,80.0,7.9,10883.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.19,177
11,Ernest & Celestine,,,PG,80.0,7.9,10883.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.19,177
12,Ernest & Celestine,,,PG,80.0,7.9,10883.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.19,177
13,Ernest & Celestine,,,PG,80.0,7.9,10883.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.19,177
14,Toki o kakeru shôjo,,,NOT RATED,98.0,7.9,33030.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
