,Title,GRRating,GRRatingCount
0,Hababam Sinifi,4.28,717
1,The Godfather,4.34,232195
2,The Godfather: Part II,4.5,4
3,Fight Club,4.19,330661
4,The Lord of the Rings: The Return of the King,4.16,82
5,Morometii,3.8,5408
6,The Lord of the Rings: The Fellowship of the Ring,4.55,75
7,Forrest Gump,4.03,40697
8,"Selvi boylum, al yazmalim",4.23,275
9,Goodfellas,4.36,410
10,One Flew Over the Cuckoo's Nest,4.17,447829
11,The Lord of the Rings: The Two Towers,4.52,4108
12,Harakiri,4.23,22
13,The Silence of the Lambs,4.1,321059
14,It's a Wonderful Life,3.47,66
15,La Celestina,3.38,6521
16,The Prestige,3.87,11442
17,The Green Mile,4.4,161235
18,Psycho,3.8,147803
19,Apocalypse Now,3.72,434
20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.46,13
21,Grave of the Fireflies,4.67,18
22,Paths of Glory,3.84,10048
23,Woman in the Dunes,3.91,10812
24,Le trou,4.14,7
25,Guide,4.19,896851
26,Cel mai iubit dintre pamînteni,4.28,399
27,Brown of Harvard,3.94,141695
28,Devil's Bride,4.1,12445
29,Forest of the Hanged,3.93,4275
30,The Golden Calf,4.47,3893
31,When Knighthood Was in Flower,3.42,88
32,Janice Meredith,3.72,29
33,Hotaru no hikari,3.8,59
34,Anugraham,3.46,23338
35,Requiem for a Dream,4.08,33103
36,The Shining,4.13,683140
37,A Clockwork Orange,3.96,391823
38,Once Upon a Time in America,3.77,39
39,To Kill a Mockingbird,4.24,2686101
40,Vertigo,4.04,2175
41,Das Boot,4.28,2361
42,3 Idiots,4.5,144
43,Indignation,3.66,7503
44,Double Indemnity,4.12,12129
45,Bicycle Thieves,2.97,32
46,Sunrise,4.35,6267
47,High and Low,4.08,1472
48,The Little Fox,3.95,3509
49,Twelve Chairs,4.42,12331
50,Le dernier jour d'un condamné,3.82,85
51,Clouds at Sunset,4.0,2
52,Beverly of Graustark,3.86,58
53,Amalia,3.44,123
54,The Revenant,4.01,43277
55,Room,3.97,407545
56,2001: A Space Odyssey,4.08,147358
57,Scarface,3.88,208
58,Full Metal Jacket,3.93,119
59,L.A. Confidential,4.2,19991
60,Raging Bull,4.11,4379
61,Metropolis,3.48,878
62,Yojimbo,4.13,2499
63,The Treasure of the Sierra Madre,4.1,1235
64,Rocco and His Brothers,3.57,7
65,Pather Panchali,4.51,2072
66,The Heiress,3.39,23131
67,Akahige,3.67,3
68,I Remember Mama,3.87,169
69,Viridiana,4.29,21
70,To Live,3.59,28669
71,The Wind,4.26,776664
72,Make Way for Tomorrow,3.0,2
73,The Ascent,4.18,4084
74,Late Autumn,4.25,4
75,Charulata,0.0,0
76,Sahib Bibi Aur Ghulam,4.0,1
77,Noz,3.38,162
78,Die Hard,3.5,351
79,Blade Runner,3.91,302
80,Trainspotting,4.05,95704
81,How to Train Your Dragon,3.84,21023
82,Gone with the Wind,4.26,776665
83,Casino,3.72,37120
84,The Secret in Their Eyes,3.84,1468
85,Howl's Moving Castle,4.3,118587
86,The Bridge on the River Kwai,4.02,4984
87,The Best Years of Our Lives,4.5,8
88,Cool Hand Luke,4.1,602
89,The Maltese Falcon,3.93,57673
90,Rebecca,4.19,274140
91,Stalker,4.05,5163
92,Paper Moon,4.1,1164
93,The Wages of Fear,0.0,0
94,The Thin Man,3.98,18677
95,Kind Hearts and Coronets,4.12,17
