,Title,MCUserRating,MCUserRatingCount,MCCriticRating,MCCriticRatingCount
0,The Godfather,9.1,1771.0,100.0,14
1,The Godfather: Part II,9.1,465.0,80.0,10
2,Fight Club,9.0,1238.0,66.0,35
3,The Lord of the Rings: The Return of the King,9.0,2444.0,94.0,41
4,The Lord of the Rings: The Fellowship of the Ring,9.0,1608.0,92.0,34
5,Forrest Gump,7.8,898.0,82.0,19
6,Goodfellas,9.0,656.0,89.0,18
7,One Flew Over the Cuckoo's Nest,8.9,268.0,79.0,7
8,The Lord of the Rings: The Two Towers,9.0,1339.0,88.0,38
9,The Silence of the Lambs,8.9,410.0,84.0,17
10,The Prestige,8.9,840.0,66.0,36
11,Apocalypse Now,8.8,392.0,90.0,29
12,The Green Mile,8.3,342.0,61.0,36
13,Psycho,8.9,537.0,64.0,35
14,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,499.0,96.0,11
15,Guide,5.5,45.0,32.0,17
16,The Shining,8.8,485.0,61.0,10
17,Requiem for a Dream,8.9,555.0,68.0,32
18,A Clockwork Orange,7.6,544.0,78.0,10
19,3 Idiots,8.1,120.0,67.0,4
20,To Kill a Mockingbird,8.2,6.0,64.0,13
21,Das Boot,6.0,114.0,86.0,15
22,Sunrise,9.0,204.0,77.0,18
23,The Revenant,8.1,589.0,76.0,50
24,Room,8.1,162.0,86.0,43
25,Scarface,9.0,441.0,65.0,9
26,2001: A Space Odyssey,7.7,632.0,86.0,14
27,Full Metal Jacket,6.8,335.0,78.0,18
28,L.A. Confidential,9.0,345.0,90.0,28
29,Raging Bull,6.3,369.0,92.0,14
30,Metropolis,8.2,141.0,98.0,14
31,Rocco and His Brothers,7.1,9.0,84.0,7
32,The Wind,,,89.0,5
33,Late Autumn,,,,1
34,Die Hard,5.8,485.0,70.0,13
35,Blade Runner,8.9,559.0,88.0,10
36,Trainspotting,9.0,332.0,83.0,27
37,How to Train Your Dragon,8.8,549.0,74.0,33
38,Casino,8.4,1108.0,80.0,46
39,Howl's Moving Castle,8.9,331.0,80.0,40
40,The Wages of Fear,8.4,7.0,,1
41,Sweet Smell of Success,7.0,37.0,100.0,5
42,Rififi,8.2,29.0,97.0,13
43,Reconstruction,,,57.0,5
44,The Martian,8.0,1203.0,80.0,46
45,Harry Potter and the Deathly Hallows: Part 2,8.0,1356.0,87.0,41
46,Gone Girl,8.1,1135.0,79.0,49
47,Shutter Island,8.2,956.0,63.0,37
48,Jurassic Park,8.7,491.0,68.0,20
49,No Country for Old Men,7.6,1350.0,91.0,37
50,The Princess Bride,8.5,147.0,77.0,20
51,The Help,7.8,361.0,62.0,41
52,Jaws,8.7,296.0,79.0,9
53,There Will Be Blood,7.8,1228.0,92.0,39
54,The Wizard of Oz,8.1,289.0,100.0,4
55,The Bourne Ultimatum,7.4,689.0,85.0,38
56,A Christmas Story,6.3,4.0,49.0,5
57,Solaris,8.0,66.0,90.0,8
58,The Night of the Hunter,8.2,83.0,99.0,8
59,The Conformist,7.7,52.0,100.0,11
60,A Christmas Carol,7.0,153.0,55.0,32
61,The Leopard,8.0,44.0,100.0,12
62,Love,5.3,25.0,31.0,26
63,Tren,5.0,4.0,58.0,9
64,The Perks of Being a Wallflower,8.7,495.0,67.0,36
65,Catch Me If You Can,8.6,421.0,76.0,38
66,Casino Royale,8.4,1108.0,80.0,46
67,Big Fish,8.6,388.0,58.0,42
68,Mystic River,6.7,428.0,84.0,42
69,Life of Pi,7.8,747.0,79.0,44
70,The Exorcist,8.8,305.0,82.0,24
71,Slumdog Millionaire,7.8,637.0,86.0,36
72,Planet of the Apes,8.2,1026.0,79.0,48
73,The Graduate,6.7,107.0,77.0,10
74,Scent of a Woman,9.0,144.0,59.0,14
75,Dances with Wolves,8.8,154.0,72.0,20
76,The Untouchables,9.1,82.0,79.0,16
77,The Iron Giant,8.8,221.0,85.0,27
78,JFK,8.6,50.0,72.0,29
79,King Kong,7.3,1315.0,81.0,39
80,Freaks,,,,1
81,Frankenstein,5.3,52.0,36.0,28
82,The Manchurian Candidate,8.6,53.0,94.0,14
83,Persepolis,8.7,175.0,90.0,31
84,In Cold Blood,8.4,11.0,89.0,4
85,Great Expectations,6.7,27.0,55.0,24
86,That Obscure Object of Desire,8.5,15.0,84.0,5
87,The Servant,7.8,10.0,93.0,8
88,Hunger,6.9,402.0,65.0,44
89,The Hobbit: An Unexpected Journey,8.0,2595.0,58.0,40
90,Edge of Tomorrow,8.6,1366.0,71.0,43
91,The Notebook,8.8,400.0,53.0,34
92,The Fault in Our Stars,7.3,370.0,69.0,45
93,The Hobbit: The Desolation of Smaug,7.8,1480.0,66.0,44
94,The Bourne Identity,7.3,334.0,68.0,38
95,Children of Men,8.3,933.0,84.0,38
96,"Crouching Tiger, Hidden Dragon",7.9,567.0,93.0,31
97,Miller's Crossing,8.8,133.0,66.0,18
98,Carlito's Way,6.6,5.0,,3
99,The Ten Commandments,6.2,9.0,25.0,6
100,Hud,5.3,57.0,17.0,15
101,The Remains of the Day,8.9,27.0,84.0,11
102,Johnny Got His Gun,,,41.0,8
103,Two Women,,,66.0,6
104,The Trial,6.3,234.0,43.0,29
105,Gloomy Sunday,8.2,19.0,60.0,22
106,Vengeance is Mine,8.3,4.0,,2
107,Crime and Punishment,7.3,12.0,32.0,14
